"","id","freq","name"
"173","15446531",82,"Matt Yglesias"
"174","91478624",82,"Forbes"
"175","18301196",81,"Gay Civil Rights"
"176","19697415",81,"Bill Maher"
"177","53861909",81,"Bonnie Hussein Obama"
"178","15335534",80,"jimgeraghty"
"179","54744689",80,"Ani Sangye"
"180","35773039",79,"The Atlantic"
"181","16446177",78,"Michele Bachmann"
"182","27512951",78,"Don Millard"
"183","500217624",78,"Sandra F. Woodward"
"184","79797834",78,"Roger Ebert"
"185","15163466",77,"Digg"
"186","15754281",77,"USA TODAY"
"187","16193222",77,"Guy Benson"
"188","20713061",77,"Newt Gingrich"
"189","50325797",77,"Chuck Todd"
"190","10774652",76,"TheBlaze.com"
"191","47739450",76,"Byron York"
"192","409486555",75,"Michelle Obama"
"193","90405702",75,"Andrea Saul"
"194","205392468",74,"Face The Nation"
"195","255791926",74,"Anna Coles"
"196","357606935",74,"Elizabeth Warren"
"197","78419512",73,"Obama for America OH"
"198","15049826",72,"Milt Shook"
"199","15780280",72,"Sam Baker"
"200","21717987",72,"Geoff Ninecow"
"201","22084427",72,"rob delaney"
"202","5695632",72,"BuzzFeed"
"203","7784732",72,"sevenish"
"204","11856892",71,"Meet The Press"
"205","16789970",71,"Senator Harry Reid"
"206","182251918",71,"Ken Gardner"
"207","27073265",71,"HuffPostBiz"
"208","306336521",71,"ThinkProgress Health"
"209","37666933",71,"Ed Schultz"
"210","59159771",71,"Katrina vandenHeuvel"
"211","102238997",70,"Jan Crawford"
"212","23022687",70,"Ted Cruz"
"213","41634520",70,"Sean Hannity"
"214","16326882",69,"AdamSerwer"
"215","22047070",69,"Rush Limbaugh"
"216","24816848",69,"HuffPost Media"
"217","334878657",69,"Thanks Obamacare"
"218","35218566",69,"Ari Fleischer"
"219","356885109",69,"Jim Messina"
"220","49698134",69,"Joy Reid"
"221","130617778",68,"Keith Olbermann"
"222","139853489",68,"Kernel Wars"
"223","16967845",68,"Ntl Women's Law Ctr "
"224","50769180",68,"Laura Ingraham"
"225","15174710",67,"MomsRising"
"226","18851248",67,"AlterNet"
"227","21316253",67,"Zeke Miller"
"228","27446191",67,"Expendable Class"
"229","3108351",67,"Wall Street Journal"
"230","428333",67,"CNN Breaking News"
"231","16250929",66,"Taegan Goddard"
"232","18791763",66,"Karl Rove"
"233","349426095",65,"GOP Unplugged"
"234","5741722",65,"NPR Politics"
"235","57428429",65,"Big Government"
"236","76059158",65,"Obama for America IA"
"237","14526877",64,"Gabe Ortíz"
"238","20608910",64,"David Gregory"
"239","435236285",64,"The War Room"
"240","459617681",64,"Romney Hood"
"241","6273552",64,"MC HAMMER"
"242","148529707",63,"Robert Reich"
"243","15450996",63,"Cato Institute"
"244","160010755",63,"John Dean"
"245","21019697",63,"Health Access CA"
"246","393258273",63,"NewsPin"
"247","40260612",63,"Bill Press"
