"","id","name","weight"
"192","16250929","Taegan Goddard",40
"193","16967845","Ntl Women's Law Ctr ",40
"194","45395460","Florida Gordon",40
"195","58379000","Rick Santorum",40
"196","16187637","Chad Pergram",39
"197","308233424","Roger Simon",39
"198","396044297","Peggy Stuart",39
"199","459617681","Quarter-Billionaire",39
"200","72198806","Kirsten Gillibrand",39
"201","140060120","David Pakman Show",38
"202","16326882","AdamSerwer",38
"203","23605505","Steve Walker",38
"204","352548417","Paul Begala",38
"205","55133916","Obama for America LA",38
"206","130617778","Keith Olbermann",37
"207","148529707","Robert Reich",37
"208","15952856","Ari Berman",37
"209","160010755","John Dean",37
"210","1716581","Elon James White",37
"211","18978610","Sally Kohn",37
"212","19462341","Eileen Left""",37
"213","23819676","Josh Dorner",37
"214","39609732","Jeff Sun Tzu",37
"215","9532402","Ben Smith",37
"216","16012783","The Daily Beast",36
"217","18217624","MicheleBachmann",36
"218","19739126","Kevin McCarthy",36
"219","22084427","rob delaney",36
"220","49457533","Avik S. A. Roy",36
"221","50434933","Steven Ertelt",36
"222","54299209","Obama for America NC",36
"223","63013144","Sarah Reese Jones",36
"224","106274105","Rich Wharton",35
"225","16209626","stephanie",35
"226","179245596","David Limbaugh",35
"227","18220818","Dog Lovers for Obama",35
"228","19824430","College Democrats ",35
"229","21146733","NationalNursesUnited",35
"230","29442313","Bernie Sanders",35
"231","32517594","RonSupportsYou",35
"232","327838153","BudParsons",35
"233","335369838","Occupy Wall Street",35
"234","435236285","The War Room",35
"235","7039122","College Republicans",35
"236","78495596","Obama for America WA",35
"237","14345062","PostPolitics",34
"238","15450996","Cato Institute",34
"239","18172905","Rick Klein",34
"240","18851248","AlterNet",34
"241","29465136","Mediaite",34
"242","5496932","NRCC",34
"243","870456019","DennisMillerLive",34
"244","112255972","Willard Mitt Romney",33
"245","21862217","Krystal Ball",33
"246","330592913","Martin Bashir",33
"247","339530920","BarkingAtTheMoon",33
"248","57428429","Big Government",33
"249","62886400","1stHeadlines Health",33
"250","65493023","Sarah Palin",33
"251","78599720","Obama for America VA",33
"252","111141045","Brad Woodhouse",32
"253","14173084","Current TV",32
"254","16789970","Senator Harry Reid",32
"255","232717793","TeaPartyIsTheKKK",32
"256","28009377","DR",32
"257","33219902","Nadia Oxford",32
"258","353222692","a4alice",32
"259","385700614","Trina Cuppett ",32
"260","39311638","Families USA",32
"261","414359892","Barack Obama",32
"262","15280845","Simon Says",31
"263","21019697","Health Access CA",31
"264","21221064","Catholic Democrats",31
"265","215527641","Republican Hawk",31
"266","216299334","Piers Morgan",31
"267","21634627","Jonathan Cohn",31
"268","21974380","ReAL TaLk",31
"269","32497478","Kelly ",31
"270","33235771","mia farrow",31
"271","3497941","Oliver Willis",31
"272","35773039","The Atlantic",31
"273","397446665","OccupyGay",31
"274","40037388","Obama for America CO",31
"275","401090263","Jonathan Jewel",31
"276","428333","CNN Breaking News",31
