"","id","name","weight"
"191","14093404","divadoll123",67
"192","19850687","Chris Angelini, Cris",67
"193","17546958","weeklystandard",66
"194","218027755","TheTeaParty.net",66
"195","17233536","Opinionated",65
"196","257399079","WisConservative",65
"197","69773058","Stephen Hayes",65
"198","90651198","Greg Abbott",65
"199","13218102","JohnCornyn",64
"200","190905427","ForAmerica",64
"201","19734832","Sarah Kliff",64
"202","216881337","Senator Rand Paul",64
"203","26287372","The Real ExTex",64
"204","110918004","Chris Mundy",63
"205","56532503","AlinskyDefeater",63
"206","15515169","toddstarnes",62
"207","18510860","Mother Jones",62
"208","24476251","Corie Whalen",62
"209","333155696","Beat Obama",62
"210","5561412","Eric Cantor",62
"211","807095","The New York Times",62
"212","109441206","Doug Ray",61
"213","16491569","James Pethokoukis",61
"214","16726846","Brittany Cohan",61
"215","19017604","Sissy Willis",61
"216","209941571","Melody ",61
"217","28407251","Katy Abram",61
"218","180209895","Sean Hannity's Hair",60
"219","18294521","ž BLACK REPUBLICAN ž",60
"220","20378448","Philip Klein",60
"221","23798694","Charlie Daniels",60
"222","31057963","Barbara McMahon",60
"223","7597712","PJ Media",60
"224","21044127","Howard Notelling",59
"225","22044641","Richard Mourdock",59
"226","28302031","Dr. Schadenfreude",59
"227","33811812","betseyross",59
"228","12788332","Ways&Means Committee",58
"229","16930489","Jon Gabriel",58
"230","325265073","utaustinliberal",58
"231","51964801","Conservative Is Cool",58
"232","14989516","Ben Domenech",57
"233","15368940","GottaLaff",57
"234","196292489","Ocean Shores Patriot",57
"235","476848835","Trisha Hope",57
"236","14266637","DC Debbie",56
"237","16023914","Afterseven",56
"238","18176907","DanRiehl",56
"239","197845065","Richard Amerling",56
"240","27413440","Fuzzy Slippers",56
"241","65115448","Robert Sewell, MD",56
"242","11102352","Andy Wendt",55
"243","15932085","Teri Christoph",55
"244","16045956","Grover Norquist",55
"245","16187637","Chad Pergram",55
"246","17611447","Tabitha Hale",55
"247","19877680","Eye on Politics",55
"248","343721012","Common Sense",55
"249","418991627","Red Alert Politics",55
"250","6724252","Phil Kerpen",55
"251","79862091","GeorgeDemos4Congress",55
"252","144570961","Valentine Cotton",54
"253","18244206","GayPatriot",54
"254","20065096","Canada Free Press",54
"255","21316253","Zeke Miller",54
"256","44397959","Andrew Wilkow",54
"257","48142971","Texas Red",54
"258","48459553","Katie Pavlich",54
"259","49140008","Dick Morris",54
"260","14717197","Talking Points Memo",53
"261","15675138","CSPAN",53
"262","16790797","Bill Talley",53
