"","id","freq","name"
"171","410192158",141,"TwitchyPolitics"
"172","60680268",140,"Jedediah Bila"
"173","16674443",139,"HCAN"
"174","29216764",139,"Judge Napolitano "
"175","90651198",139,"Greg Abbott"
"176","10292132",138,"Joel Pollak"
"177","195039023",138,"Politics are Real "
"178","20347310",138,"Erica"
"179","13218102",137,"JohnCornyn"
"180","18791763",137,"Karl Rove"
"181","388986101",136,"American Spring"
"182","42126668",136,"Peyton James"
"183","309558781",135,"Kelly Rek"
"184","15207668",134,"GOP Conference"
"185","17561562",134,"slone"
"186","20686232",134,"Jordan Sekulow"
"187","20791372",134,"ACLJ"
"188","71627462",134,"Jonah Goldberg"
"189","111332093",133,"The Irishman"
"190","16930489",133,"Jon G."
"191","18379614",133,"Dave Rubin"
"192","18906561",133,"Rick Perry"
"193","21269970",133,"Senator Roy Blunt"
"194","457984599",133,"Breitbart News"
"195","18916432",132,"Paul Ryan"
"196","194615561",130,"Prudence"
"197","17609675",129,"Jimmie"
"198","11203972",128,"'Jim' 'Treacher'"
"199","15515169",128,"toddstarnes"
"200","16163639",128,"John Nolte "
"201","17546958",128,"weeklystandard"
"202","14792049",127,"Jason Easley"
"203","21789755",127,"Patty"
"204","18768324",125," StaceinTexas "
"205","45450902",125,"di kele"
"206","20733972",124,"Reince Priebus"
"207","60919240",124,"Donna Brazile"
"208","138459524",123,"greybeard"
"209","255791926",123,"Anna Coles"
"210","3135241",122,"RedState"
"211","43182702",122,"Defund NPR PBS & NEA"
"212","112047805",121,"Brit Hume"
"213","131546062",121,"Rick Scott"
"214","7309052",120,"Yahoo! News"
"215","357013583",119,"FW For America"
"216","75052666",119,"Ed Schultz"
"217","171632862",118,"Jay Sekulow"
"218","518092025",118,"Breitbart.com Feed"
"219","216881337",117,"Senator Rand Paul"
"220","107125748",116,"Fox News Opinion"
"221","27759798",116,"Conservative News"
"222","16012783",115,"The Daily Beast"
"223","113758100",114,"Dennis Miller Show"
"224","16491569",114,"James Pethokoukis"
"225","18956073",114,"Washington Examiner"
"226","23678096",114,"Gunservatively"
"227","237888723",114,"BIZPAC Review"
"228","24431892",114,"Markos Moulitsas"
"229","7039122",113,"College Republicans"
"230","18244206",112,"GayPatriot"
"231","18978553",112,"Rory Cooper"
"232","19417492",112,"National Review"
"233","45641358",112,"PolitixGal"
"234","266488425",110,"Poor Conservative"
"235","17995040",109,"benshapiro"
"236","19877680",109,"Eye on Politics"
"237","2836421",109,"msnbc.com"
"238","407229804",109,"Times247"
"239","21542704",108,"Steel Magnolia"
"240","21044127",107,"Howard Notelling"
"241","244655353",107,"David Axelrod"
"242","25594161",107,"Lee Doren"
"243","34927577",107,"CNSNews.com"
"244","40553282",106,"Stew"
"245","88784440",106,"Mike Lee"
"246","110918004",105,"Chris Mundy"
"247","16228479",105,"SCOTUSblog"
"248","26900055",105,"Dr. Marty Fox"
"249","17976923",104,"CathyMcMorrisRodgers"
"250","26820275",104,"Scott P. Brown "
"251","34701889",104,"MaxCUA"
"252","476848835",104,"Trisha Hope"
"253","59461030",104,"BIG GUNS"
"254","64088396",104,"Ben Howe"
"255","80628196",104,"Official AARP Tweets"
"256","83949216",104,"TriciaNC"
"257","21316253",103,"Zeke Miller"
"258","15675138",102,"CSPAN"
"259","315878798",102,"Chuck Nellis"
"260","5145071",102,"Velvet Hammer"
"261","755802",102,"Eric Snider"
"262","17233536",101,"Opinionated"
"263","18294521",101,"ž BLACK REPUBLICAN ž"
"264","356289222",101,"Jonathan Stein"
"265","74014041",101,"Michelle Ray"
"266","22296258",100,"Margaret "
"267","48459553",100,"Katie Pavlich"
"268","22329038",99,"czar"
"269","26657119",99,"MoveOn.org"
"270","72579376",99,"John Hayward"
"271","12144232",98,"stephenkruiser"
"272","24476251",97,"Corie Whalen"
"273","232901331",96,"Dan Bongino"
"274","271091161",96,"GBTV"
"275","27702749",96,"Texas Public Policy"
"276","28407251",96,"Katy Abram"
"277","39755667",96,"Texas Bill"
"278","462104542",96,"Chuck Woolery"
"279","823905",96,"WordPress.com"
"280","15754281",95,"USA TODAY"
"281","180209895",95,"Sean Hannity's Hair"
"282","19017604",95,"Sissy Willis"
"283","17074440",94,"GeorgeStephanopoulos"
"284","12788332",93,"Ways&Means Committee"
"285","14093404",93,"divadoll123"
"286","15164565",93,"Slate"
"287","56202097",93,"Red"
"288","18172905",92,"Rick Klein"
"289","20826129",92,"AZ Dreamer"
"290","37764422",92,"Fox Nation"
"291","5392522",92,"NPR News"
"292","61015562",92,"Scott Barbour"
"293","6724252",92,"Phil Kerpen"
"294","176950935",91,"Richard D. Cushing"
"295","333155696",91,"Beat Obama"
"296","339822881",91,"Sen. McConnell Press"
"297","347057474",91,"* iResist *"""
"298","56532503",91,"AlinskyDefeater"
"299","95713333",91,"Gov. Gary Johnson"
"300","14676022",90,"DCCC"
"301","15368940",90,"GottaLaff"
"302","16045956",90,"Grover Norquist"
"303","17611447",90,"Tabitha Hale"
"304","20479813",90,"Michael Moore"
"305","28302031",90,"Dr. Schadenfreude"
"306","65502117",90,"Joe Pounder"
"307","94197072",90,"60 Plus Association"
"308","18176907",89,"DanRiehl"
"309","69773058",89,"Stephen Hayes"
"310","17387589",88,"Vann Schaffner"
"311","66951419",88,"Bob Miller"
"312","77368894",88,"Docs 4 Patient Care"
"313","85606078",88,"U.S. Chamber"
"314","133439172",87,"Kay Bailey Hutchison"
"315","16557667",87,"MBKing"
"316","218027755",87,"TheTeaParty.net"
"317","233737858",87,"Senator Ron Johnson"
"318","110558385",86,"Zite "
"319","13493302",86,"Media Matters"
"320","26287372",86,"The Real ExTex"
"321","459801056",86,"AmericanFreedomLaw"
"322","21964694",85,"Ezra Grant"
"323","343721012",85,"Common Sense"
"324","13524182",84,"daveweigel"
"325","18646108",84,"Bret Baier"
"326","16726846",83,"Brittany Cohan"
"327","140640762",82,"Joe the Patriotic"
"328","18822612",82,"Amy Kremer"
"329","27897429",82,"[ Rollins Wallace ["
"330","418991627",82,"Red Alert Politics"
"331","7074742",82,"Peter Kinder"
"332","15932085",81,"Teri Christoph"
"333","19359749",81,"Erin Haust"
"334","23730438",81,"Justine Larbalestier"
"335","257399079",81,"WisConservative"
"336","27170624",81,"Boston Tea Party"
"337","7401212",81,"Doug Ross"
"338","209941571",80,"Melody "
"339","533498129",80,"It's a BFD."
"340","53487798",80,"Mike ap John"
"341","110445334",79,"Megyn Kelly"
"342","15460793",79,"John LaRosa"
"343","19850687",79,"Chris Angelini, Cris"
"344","20562637",79,"Business Insider"
"345","48142971",79,"Texas Red"
"346","89297892",79,"Larry O'Connor "
"347","114655637",78,"Conservatives4Palin"
"348","17171111",78,"American Progress"
"349","190905427",78,"ForAmerica"
"350","31057963",77,"Barbara McMahon"
"351","53606937",77,"James Taranto"
"352","16931849",76,"Phineas Fahrquar"
"353","18983793",76,"Shannon Bream"
"354","49140008",76,"Dick Morris"
"355","100480088",75,"Cuffy Meh"
"356","109441206",75,"Doug Ray"
"357","16051808",75,"Scott W. Graves"
"358","65115448",75,"Robert Sewell, MD"
"359","14197312",74,"Doug Mataconis"
"360","16129920",74,"Rachel Maddow MSNBC"
"361","213795411",74,"Governor Walker"
"362","23798694",74,"Charlie Daniels"
"363","33811812",74,"betseyross"
"364","393645945",74,"Michael J. Fell"
"365","41363507",74,"Dean Heller"
"366","15163466",73,"Digg"
"367","242745309",73,"I-AM"
"368","33180256",73,"Conservative Sue"
"369","44397959",73,"Andrew Wilkow"
"370","102238997",72,"Jan Crawford"
"371","14266637",72,"DC Debbie"
"372","15210284",72,"National Journal"
"373","16789970",72,"Senator Harry Reid"
"374","17963725",72,"Ed Feulner"
"375","202206694",72,"Sen. John Barrasso"
"376","27689907",72,"John McCormack"
"377","49224286",72,"Teodora Stanev"
"378","6782762",72,"Ali A. Akbar"
"379","122419529",71,"FollowFriday Helper"
"380","16187637",71,"Chad Pergram"
"381","209792690",71,"Cantor Press"
"382","21619519",71,"Joe Scarborough"
"383","28740137",71,"B.Z."
"384","733751245",71,"Paul Ryan"
"385","16790797",70,"Bill Talley"
"386","20065096",70,"Canada Free Press"
"387","54281064",70,"Stacy Hyatt"
"388","251644808",69,"Cherylyn HarleyLeBon"
"389","262401415",69,"Jayne Hults"
"390","296361085",69,"Senator John Thune"
"391","38122727",69,"ROCKWITHBECK"
"392","11102352",68,"Andy Wendt"
"393","130600206",68,"Heritage Action"
"394","16007460",68,"David Freddoso"
"395","18950712",68,"nickgillespie"
"396","196292489",68,"Ocean Shores Patriot"
"397","21888595",68,"Razor"
"398","27413440",68,"Fuzzy Slippers"
"399","41758974",68,"Thomas  "
"400","41814169",68,"Fareed Zakaria"
"401","59159771",68,"Katrina vandenHeuvel"
"402","114859756",67,"Kristina"
"403","129332353",67,"Ron Robinson"
"404","15513604",67,"fox & friends"
"405","17912982",67,"US Supreme Court"
"406","17973836",67,"Matt Cover"
"407","33186808",67,"Jonathan Hoenig"
"408","50325797",67,"Chuck Todd"
"409","52629202",67,"$uzi Q"
"410","76773857",67,"Vernon B. Parker"
"411","110863694",66,"f396"
"412","16664681",66,"Los Angeles Times"
"413","340333435",66,"TruthTeam2012"
"414","36667104",66,"Political Math"
"415","418867782",66,"kerry  "
"416","19980678",65,"CWforA"
"417","21696279",65,"Brian Beutler"
"418","428333",65,"CNN Breaking News"
"419","56413858",65,"FOX Business"
"420","74841347",65,"UIn God I TrustU"
"421","14437914",64,"NewsHour"
"422","16887628",64,"Matt K. Lewis"
"423","231815020",64,"Stacy Washington"
"424","254777469",64,"DefeatObama"
"425","36231639",64,"Austin Hess"
"426","455764741",64,"Wash. Free Beacon"
"427","58966831",64,"Tom T."
"428","8431652",64,"Shoq Value"
"429","107745212",63,"Karen Harrington"
"430","13673392",63,"Saul Anuzis"
"431","16326882",63,"AdamSerwer"
"432","20818801",63,"Daily Kos"
"433","22456513",63,"Erin Wagner"
"434","31603074",63,"Sam Valley"
"435","494583213",63,"Sandra Fluke"
"436","51964801",63,"Conservative Is Cool"
"437","85395596",63,"Noel Sheppard"
"438","14282169",62,"Billy Hallowell"
"439","144570961",62,"Valentine Cotton"
"440","15463671",62,"Sam Stein"
"441","214783897",62,"J. R."
"442","25579796",62,"Matthew Burke"
"443","26122639",62,"WashingtonDCTeaParty"
"444","27503607",62,"Ed "
"445","325265073",62,"utaustinliberal"
"446","497005469",62,"IP4PI"
"447","71807953",62,"USA Hipster"
"448","16023914",61,"Afterseven"
"449","17993906",61,"Tweet Congress"
"450","230859523",61,"Harriet Baldwin"
